PAYS;VILLE;CODE POSTAL;SUBURB;TYPE
AD;ANDORRA;25999;;3
AE;ABU DHABI;;;1
AF;KABUL;;;1
AG;SAINT JOHN'S;;BARNES HILL;2
AL;TIRANA;;;1
AM;YEREVAN;0001;;3
AO;LUANDA;;;1
AR;BUENOS AIRES;1000;;3
AT;VIENNA;1000;;3
AU;CANBERRA;2600;;3
AZ;BAKU;1000;;3
BA;SARAJEVO;71000;;3
BB;BRIDGETOWN;;BRIDGETOWN;2
BD;DARSANA;7221;;3
BE;BRUSSEL;1000;;3
BF;OUAGADOUGOU;;;1
BG;SOFIA;1000;;3
BH;MANAMA;;;1
BI;BUJUMBURA;;;1
BJ;PORTO NOVO;;;1
BN;BANDAR SERI BEGAWAN;BH2723;;3
BO;SUCRE;;SUCRE;2
BR;BRASILIA;70000;;3
BS;NASSAU;;LYFORD CAY;2
BT;THIMPHU;;;1
BW;GABORONE;;;1
BY;MINSK;220000;;3
BZ;BELMOPAN;;BELMOPAN;2
CA;OTTAWA;K1A0A;;3
CD;KINSHASA;;;1
CF;BANGUI;;;1
CG;BRAZZAVILLE;;;1
CH;BERN;3000;;3
CI;YAMOUSSOUKRO;;;1
CL;SANTIAGO;;ESTACION CENTRAL;2
CM;YAOUNDE;;;1
CN;BEIJING;100000;;3
CO;BOGOTA;110111;;3
CR;SAN JOSE;;ASERRI SAN JOSE;2
CU;HAVANA CITY;10400;;3
CV;PRAIA ISLAND OF SANTIAGO;;;1
CY;NICOSIA;1010;;3
CZ;PRAGUE;10000;;3
DE;BERLIN;10082;;3
DJ;DJIBOUTI;;;1
DK;COPENHAGEN C;0877;;3
DM;ROSEAU;;CANEFIELD;2
DO;SANTO DOMINGO;;NIGUA SAN CRISTOBAL;2
DZ;ALGIERS;16000;;3
EC;QUITO;170201;;3
EE;TALLINN;10001;;3
EG;CAIRO;;;1
ER;ASMARA;;;1
ES;MADRID;28001;;3
ET;ADDIS ABABA;;;1
FI;HELSINKI;00002;;3
FJ;SUVA;;;1
FM;POHNPEI;96941;;3
FR;PARIS;75001;;3
GA;LIBREVILLE;;;1
GB;LONDON;N1P1;;3
GD;SAINT GEORGE;;SAINT GEORGE`S;2
GE;TBILISI;0101;;3
GH;ACCRA;;;1
GM;BANJUL;;;1
GN;CONAKRY;;;1
GQ;MALABO;;;1
GR;ATHENS;10173;;3
GT;GUATEMALA;;VILLA NUEVA;2
GW;BISSAU;;;1
GY;GEORGETOWN;;BETERVERWAGTING;2
HN;TEGUCIGALPA;;TEGUCIGALPA;2
HR;ZAGREB;10000;;3
HT;PORT AU PRINCE;;BOURDON;2
HU;BUDAPEST;1000;;3
ID;JAKARTA;10110;;3
IE;DUBLIN;;WOODBINE PARK BLACKROCK DUBLIN;2
IN;NEW DELHI;110001;;3
IQ;BAGHDAD;;;1
IR;TEHRAN;;;1
IS;REYKJAVIK;101;;3
IT;ROME;00118;;3
JM;KINGSTON;;KINGSTON;2
JO;AMMAN;;ABDALI;2
JP;TOKYO;1000000;;3
KE;NAIROBI;;ADAMS ARCADE;2
KG;BISHKEK;720000;;3
KH;PHNOM PENH;;DAUN PENH;2
KI;TARAWA;;;1
KM;MORONI;;;1
KN;BASSETERRE;;CAYON;2
KP;PYONGYANG;;;1
KR;SEOUL;100011;;3
KV;PRISTINA;10000;;3
KW;KUWAIT CITY;;;1
KZ;ASTANA;010000;;3
LA;VIENTIANE;;;1
LB;BEIRUT;;BEIRUT;2
LC;CASTRIES;;ROSEAU BAY;2
LI;VADUZ;9490;;3
LK;SRI JAYAWARDENAPURA;;;1
LR;MONROVIA;;;1
LS;MASERU;;;1
LT;VILNIUS;01001;;3
LU;Luxembourg;1009;;3
LV;RIGA;1000;;3
LY;TRIPOLI;;;1
MA;RABAT;10000;;3
MC;MONACO;98000;;3
MD;CHISINAU;2001;;3
ME;PODGORICA;81000;;3
MG;ANTANANARIVO;101;;3
MH;MAJURO;96960;;3
MK;SKOPJE;1000;;3
ML;BAMAKO;;;1
MM;NAY PYI TAW;;;1
MN;ULAANBAATAR;11000;;3
MR;NOUAKCHOTT;;;1
MT;VALLETTA;;;1
MU;PORT LOUIS;;;1
MV;MALE;20002;;3
MW;LILONGWE;;CAPITAL HILL;2
MX;MEXICO CITY;9000;;3
MY;KUALA LUMPUR;50000;;3
MZ;MAPUTO;;;1
NA;WINDHOEK;;;1
NE;NIAMEY;;;1
NG;ABUJA;;;1
NI;MANAGUA;;MANAGUA;2
NL;AMSTERDAM;1011;;3
NO;OSLA;0010;;3
NP;KATHMANDU;;;1
NR;NAURU;;;1
NZ;WELLINGTON;5016;;3
OM;MUSCAT;;;1
PA;PANAMA;;ALBROOK;2
PE;LIMA;;CERCADO;2
PG;PORT MORESBY;121;;3
PH;MANILA;1000;;3
PK;ISLAMABAD;44000;;3
PL;WARSZAWA;00001;;3
PT;LISBON;1000001;;3
PW;PALAU;96939;;3
PY;ASUNCION;;ASUNCION;2
QA;DOHA;;;1
RO;BUCAREST;010000;;3
RS;BELGRADE;11000;;3
RU;MOSCOW;101000;;3
RW;KIGALI;;AIRPORT AREA;2
SA;RIYADH;;AIRBASE;2
SB;HONIARA;;;1
SC;MAHE ISLAND;;;1
SD;KHARTOUM;;;1
SE;STOCKHOLM;10012;;3
SG;SINGAPORE;010000;;3
SI;LJUBLJANA;1000;;3
SK;BRATISLAVA;81000;;3
SL;FREETOWN;;;1
SM;SAN MARINO;47890;;3
SN;DAKAR;;;1
SO;MOGADISHU;;;1
SR;PARAMARIBO;;PARAMARIBO;2
SS;JUBA;;;1
ST;SAO TOME;;;1
SV;SAN SALVADOR;;SAN BENITO;2
SY;DAMASCUS;;;1
SZ;MBABANE;H100;;3
TD;NDJAMENA;;;1
TG;LOME;;;1
TH;BANGKOK;10001;;3
TJ;DUSHANBE;734000;;3
TL;DILI;;;1
TM;ASHGABAT;744000;;3
TN;CARTHAGE;2016;;3
TO;NUKUALOFA;;;1
TR;IZMIR IZMIR;35000;;3
TT;PORT OF SPAIN;;PORT OF SPAIN;2
TV;FUNAFUTI;;;1
TW;TAIPEI CITY;100;;3
TZ;DODOMA;;;1
UA;KIEV;01000;;3
UG;KAMPALA;;;1
US;WASHINGTON;22747;;3
UY;MONTEVIDEO;;MONTEVIDEO;2
UZ;TASHKENT;100000;;3
VC;KINGSTOWN;;KINGSTOWN;2
VE;CARACAS;;OCUMARE DEL TUY;2
VN;HANOI;;BA DINH;2
VU;PORT VILA;;;1
WS;APIA;;;1
YE;SANAA;;;1
ZA;PRETORIA;0002;;3
ZM;LUSAKA;;;1
ZW;HARARE;;;1
